Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000196436.8,1702,ENSG00000196436,NPIPB15,440348,-1.4628434969789748,0.9818144292127177,-3.3046563832234774,0.005872671188605791,0.23045691212323835,-2.124645430493219
ENSG00000006611.16,4904,ENSG00000006611,USH1C,10083,0.8492891905901083,3.6271120259187892,3.2709093276545738,0.006106565905055257,0.23045691212323835,-2.1258376444326563
ENSG00000087460.25,14145,ENSG00000087460,GNAS,2778,-0.2668820528623552,9.90205895360436,-3.299076473825085,0.004958626571106396,0.22083339643211977,-2.1288721999347464
ENSG00000064961.19,3857,ENSG00000064961,HMG20B,10362,-0.22213926112656956,5.620813434743573,-3.3178762240282578,0.004772377458484948,0.2197181981696002,-2.1324453036521156
ENSG00000143158.11,2638,ENSG00000143158,MPC2,25874,0.34425602759681695,4.992657401759907,3.285049302439548,0.005102292658270124,0.22150663048944155,-2.135297298888025
ENSG00000154511.12,3091,ENSG00000154511,FAM69A,388650,0.6504668908416564,1.5868734382893126,3.2234781125558243,0.005783475877006865,0.23045691212323835,-2.135596694940964
ENSG00000108239.9,7286,ENSG00000108239,TBC1D12,23232,0.2271976551389434,5.061762059113271,3.3018620786284676,0.004930579420867905,0.22083339643211977,-2.1372227465124123
ENSG00000100300.18,1422,ENSG00000100300,TSPO,706,-0.3614848559772761,3.67922845215814,-3.2040719740248806,0.006016347389718952,0.23045691212323835,-2.1406519788231524
ENSG00000103266.11,2318,ENSG00000103266,STUB1,10273,-0.3042898138016801,5.18649572158321,-3.298036371364387,0.004969139633756582,0.22083339643211977,-2.14336319246081
ENSG00000123095.6,3854,ENSG00000123095,BHLHE41,79365,0.6288458370183854,3.8105435770293625,3.3033441969260195,0.005576019345426102,0.22621185666273874,-2.145843976646564
ENSG00000133106.14,4924,ENSG00000133106,EPSTI1,94240,0.8107127750738101,5.882563816983235,3.4123604216326004,0.005084267851607529,0.22150663048944155,-2.151073249486104
ENSG00000041515.16,8816,ENSG00000041515,MYO16,23026,-0.9581936856288354,1.4116561939791936,-3.25623290488036,0.005410552347599536,0.22621185666273874,-2.1574671270123638
ENSG00000120594.17,12567,ENSG00000120594,PLXDC2,84898,0.43543952730944824,4.4635691779707125,3.2409710773582368,0.005581243067696166,0.22621185666273874,-2.161245866921415
ENSG00000156049.7,2736,ENSG00000156049,GNA14,9630,0.2412114940405239,4.51024805488009,3.283084803331726,0.005122741044212415,0.22150663048944155,-2.171173081661599
ENSG00000104824.17,6821,ENSG00000104824,HNRNPL,3191,-0.23199865396374175,6.698709038974444,-3.3244202897195323,0.00470919432385941,0.21917446600391485,-2.180045014875068
ENSG00000155850.8,8580,ENSG00000155850,SLC26A2,1836,0.356957021906525,4.7386745821367535,3.2695984613037257,0.005265338177471968,0.22538817168382513,-2.1814568464888913
ENSG00000038427.16,14678,ENSG00000038427,VCAN,1462,-0.6554948046143099,4.525658128898973,-3.2689619087089548,0.005960988478534115,0.23045691212323835,-2.1818705810229777
ENSG00000113161.16,6160,ENSG00000113161,HMGCR,3156,0.2856011926524511,5.921228482135062,3.318185352066778,0.004769373898053722,0.2197181981696002,-2.185139401248791
ENSG00000102755.12,12565,ENSG00000102755,FLT1,2321,0.5856758318454425,1.7158539681286573,3.164173114542,0.0065247421102448714,0.2379207244131741,-2.185499103598024
ENSG00000122574.10,6065,ENSG00000122574,WIPF3,644150,0.595012363738332,3.426643906999402,3.1778748056577095,0.006370688943732031,0.23547475689278868,-2.1886444370236613
ENSG00000084207.18,1764,ENSG00000084207,GSTP1,2950,-0.33105997491708283,7.994741859626274,-3.3056259722223116,0.004892933051557881,0.22052739668910867,-2.19005073885915
ENSG00000067445.21,6716,ENSG00000067445,TRO,7216,-0.40630373986364177,3.3463441005279826,-3.1947520701790015,0.006131468736488291,0.23045691212323835,-2.193389596080745
ENSG00000172354.10,2692,ENSG00000172354,GNB2,2783,-0.2574802505886771,6.455483543757038,-3.3119454115577742,0.004830368929805553,0.22052739668910867,-2.1995085287058718
ENSG00000128228.5,1059,ENSG00000128228,SDF2L1,23753,0.5838166953898665,1.4868600319802172,3.212163180159628,0.005918143728776922,0.23045691212323835,-2.215765965502352
ENSG00000169760.17,10148,ENSG00000169760,NLGN1,22871,0.5296336387385892,1.3101890774116023,3.1480084285446233,0.006742627665653049,0.23960475538978226,-2.2206107805214823
ENSG00000102871.16,2173,ENSG00000102871,TRADD,8717,-0.3087740666269454,3.4800103074190294,-3.1608882917249064,0.006568446678024538,0.238157362696986,-2.2218843405758704
ENSG00000179761.12,3814,ENSG00000179761,PIPOX,51268,1.1076278718604144,1.9557703753491371,3.191200804108534,0.006851733766127065,0.23960475538978226,-2.22585516119943
ENSG00000100731.16,16715,ENSG00000100731,PCNX1,22990,0.19410292204525703,6.175778597806649,3.2941157198435285,0.00500896834942396,0.2210682272561285,-2.2311203573699414
ENSG00000069493.15,6955,ENSG00000069493,CLEC2D,29121,0.31142539403694514,4.054263674039422,3.2035686985952077,0.006022508819636884,0.23045691212323835,-2.2327424439260097
ENSG00000015520.14,5252,ENSG00000015520,NPC1L1,29881,0.9704800163130535,1.3216012953712504,3.21840571784291,0.005843466062539353,0.23045691212323835,-2.2342901242194535
ENSG00000054598.9,3983,ENSG00000054598,FOXC1,2296,0.33258278676153186,5.670414894825917,3.2846474678406272,0.005106468718288633,0.22150663048944155,-2.2400693945875982
